user,session,timepress,timerelease,keycode,keyname
4,12,1341,1419,105,numpad_9
4,12,1903,1965,99,numpad_3
4,12,2636,2698,103,numpad_7
4,12,2808,2870,103,numpad_7
4,12,3151,3244,102,numpad_6
4,12,3338,3416,97,numpad_1
4,12,3775,3884,10,enter
4,13,0,63,105,numpad_9
4,13,188,297,97,numpad_1
4,13,406,484,100,numpad_4
4,13,1217,1295,97,numpad_1
4,13,1404,1467,105,numpad_9
4,13,1810,1888,99,numpad_3
4,13,2652,2699,103,numpad_7
4,13,2793,2855,103,numpad_7
4,13,3183,3245,102,numpad_6
4,13,3386,3448,97,numpad_1
4,13,3822,3932,10,enter
4,14,0,62,105,numpad_9
4,14,203,296,97,numpad_1
4,14,405,483,100,numpad_4
4,14,1310,1388,97,numpad_1
4,14,1482,1575,105,numpad_9
4,14,2106,2168,99,numpad_3
4,14,3354,3401,103,numpad_7
4,14,3510,3572,103,numpad_7
4,14,3978,4056,102,numpad_6
4,14,4165,4243,97,numpad_1
4,14,4649,4742,10,enter
4,15,0,63,105,numpad_9
4,15,484,546,97,numpad_1
4,15,671,733,100,numpad_4
4,15,1420,1498,97,numpad_1
4,15,1607,1685,105,numpad_9
4,15,2403,2496,99,numpad_3
4,15,2824,2886,103,numpad_7
4,15,2980,3042,103,numpad_7
4,15,3354,3417,102,numpad_6
4,15,3526,3604,97,numpad_1
4,15,4009,4134,10,enter
4,16,0,62,105,numpad_9
4,16,202,280,97,numpad_1
4,16,390,468,100,numpad_4
4,16,1435,1513,97,numpad_1
4,16,1669,1747,105,numpad_9
4,16,2246,2324,99,numpad_3
4,16,3463,3494,103,numpad_7
4,16,3603,3666,103,numpad_7
4,16,4024,4118,102,numpad_6
4,16,4196,4274,97,numpad_1
4,16,4851,4960,10,enter
4,17,0,62,105,numpad_9
4,17,187,281,97,numpad_1
4,17,390,468,100,numpad_4
4,17,1264,1310,97,numpad_1
4,17,1622,1700,105,numpad_9
4,17,2668,2730,99,numpad_3
4,17,4134,4196,103,numpad_7
4,17,4290,4384,103,numpad_7
4,17,4976,5039,102,numpad_6
4,17,5148,5226,97,numpad_1
4,17,5632,5741,10,enter
4,18,0,78,105,numpad_9
4,18,218,265,97,numpad_1
4,18,406,437,100,numpad_4
4,18,1076,1154,97,numpad_1
4,18,1264,1373,105,numpad_9
4,18,1778,1856,99,numpad_3
4,18,2605,2668,103,numpad_7
4,18,2746,2808,103,numpad_7
4,18,3026,3104,102,numpad_6
4,18,3214,3276,97,numpad_1
4,18,3713,3822,10,enter
4,19,0,78,105,numpad_9
4,19,249,343,97,numpad_1
4,19,452,561,100,numpad_4
4,19,1638,1747,97,numpad_1
4,19,1856,1934,105,numpad_9
4,19,2449,2511,99,numpad_3
4,19,3229,3276,103,numpad_7
4,19,3354,3432,103,numpad_7
4,19,3666,3728,102,numpad_6
4,19,3837,3915,97,numpad_1
4,19,4337,4430,10,enter
5,0,0,94,105,numpad_9
5,0,437,515,97,numpad_1
5,0,750,828,100,numpad_4
5,0,1031,1109,97,numpad_1
5,0,1390,1484,105,numpad_9
5,0,1719,1812,99,numpad_3
5,0,2234,2328,103,numpad_7
5,0,2531,2609,103,numpad_7
5,0,2812,2906,102,numpad_6
5,0,3265,3359,97,numpad_1
5,0,3656,3781,13,enter
5,1,0,94,105,numpad_9
5,1,422,500,97,numpad_1
5,1,719,813,100,numpad_4
5,1,969,1063,97,numpad_1
5,1,1281,1375,105,numpad_9
5,1,1563,1641,99,numpad_3
5,1,2375,2469,103,numpad_7
5,1,2625,2703,103,numpad_7
5,1,2875,2969,102,numpad_6
5,1,3219,3297,97,numpad_1
5,1,3547,3672,13,enter
5,2,0,78,105,numpad_9
5,2,406,484,97,numpad_1
5,2,703,796,100,numpad_4
5,2,984,1062,97,numpad_1
5,2,1296,1390,105,numpad_9
5,2,1609,1703,99,numpad_3
5,2,2437,2515,103,numpad_7
5,2,2750,2828,103,numpad_7
5,2,3046,3125,102,numpad_6
5,2,3421,3500,97,numpad_1
5,2,3781,3859,13,enter
5,3,0,94,105,numpad_9
5,3,422,500,97,numpad_1
5,3,719,797,100,numpad_4
5,3,1000,1078,97,numpad_1
5,3,1344,1422,105,numpad_9
5,3,1640,1719,99,numpad_3
5,3,2453,2547,103,numpad_7
5,3,2750,2828,103,numpad_7
5,3,3031,3125,102,numpad_6
5,3,3422,3515,97,numpad_1
5,3,3781,3906,13,enter
5,4,0,94,105,numpad_9
5,4,500,578,97,numpad_1
5,4,812,906,100,numpad_4
5,4,1078,1156,97,numpad_1
5,4,1437,1531,105,numpad_9
5,4,1781,1875,99,numpad_3
5,4,2312,2390,103,numpad_7
5,4,2609,2687,103,numpad_7
5,4,2937,3015,102,numpad_6
5,4,3297,3375,97,numpad_1
5,4,3640,3781,13,enter
5,5,0,94,105,numpad_9
5,5,422,515,97,numpad_1
5,5,703,781,100,numpad_4
5,5,906,1000,97,numpad_1
5,5,1234,1328,105,numpad_9
5,5,1547,1625,99,numpad_3
5,5,2047,2125,103,numpad_7
5,5,2328,2406,103,numpad_7
5,5,2594,2687,102,numpad_6
5,5,3015,3094,97,numpad_1
5,5,3375,3484,13,enter
5,6,0,94,105,numpad_9
5,6,407,500,97,numpad_1
5,6,704,797,100,numpad_4
5,6,1047,1141,97,numpad_1
5,6,1422,1500,105,numpad_9
5,6,1750,1844,99,numpad_3
5,6,2391,2485,103,numpad_7
5,6,2641,2735,103,numpad_7
5,6,2954,3047,102,numpad_6
5,6,3344,3422,97,numpad_1
5,6,3719,3844,13,enter
5,7,0,78,105,numpad_9
5,7,531,609,97,numpad_1
5,7,828,922,100,numpad_4
5,7,1125,1219,97,numpad_1
5,7,1469,1563,105,numpad_9
5,7,1781,1875,99,numpad_3
5,7,2234,2313,103,numpad_7
5,7,2484,2563,103,numpad_7
5,7,2781,2875,102,numpad_6
5,7,3156,3266,97,numpad_1
5,7,3563,3703,13,enter
5,8,0,78,105,numpad_9
5,8,484,578,97,numpad_1
5,8,813,891,100,numpad_4
5,8,1188,1281,97,numpad_1
5,8,1578,1672,105,numpad_9
5,8,1938,2031,99,numpad_3
5,8,2422,2500,103,numpad_7
5,8,2703,2781,103,numpad_7
5,8,2969,3063,102,numpad_6
5,8,3344,3422,97,numpad_1
5,8,3734,3859,13,enter
5,9,0,94,105,numpad_9
