user,session,keyname,timepress,timerelease,pressure,tool_major,x,x_acceleration,x_rotation,y,y_acceleration,y_rotation,z_acceleration,z_rotation
0,7,1,8689,8747,0.5125000000000001,123.022,148.5,0.13829785,0.28652299999999997,1253.0,6.0134549999999996,0.164561,7.504505000000002,0.462144
0,7,9,9292,9358,0.5750000000000001,123.022,896.0,0.11666850000000001,0.2942325,1561.0,5.912299999999998,0.1794845,7.4187899999999996,0.46654949999999995
0,7,3,9635,9693,0.6000000000000001,123.022,913.0,0.009269700000000002,0.292009,1240.0,6.007575,0.176449,7.137575,0.4745470000000001
0,7,7,11016,11108,0.6000000000000001,139.0405,209.0,-0.0865401,0.280576,1561.5,5.94055,0.1835235,7.440449999999999,0.504232
0,7,7,11242,11342,0.575,123.022,188.5,-0.263779,0.2782425,1585.0,5.959215,0.184535,7.565715,0.5060815
0,7,6,11611,11669,0.5750000000000001,123.022,903.0,0.0155716,0.2795,1404.0,6.020630000000001,0.184444,7.447139999999999,0.505495
0,7,1,11912,11987,0.625,155.059,180.0,-0.004234350000000003,0.289277,1233.0,6.040089999999999,0.181486,7.323975000000001,0.50095
0,7,enter,14231,14322,0.5625,123.022,944.0,0.23914350000000006,0.283826,1685.0,5.78321,0.1570355,7.52735,0.4924375000000001
0,8,9,0,84,0.5750000000000001,123.022,903.0,-2.4091899999999997,0.267821,1559.0,7.995850000000001,0.42470850000000004,5.036440000000001,0.5831325
0,8,1,408,492,0.6875,187.095,253.0,-1.94821,0.2589515,1269.0,9.129584999999999,0.4505595,1.5576180000000002,0.6023879999999999
0,8,4,646,730,0.6875,187.095,255.0,-2.38877,0.2597305,1420.0,8.862495,0.5048265000000001,3.538465,0.620107
0,8,1,1640,1716,0.6875,187.095,244.0,-1.8144749999999998,0.2466685,1260.0,9.15442,0.45044,2.9162150000000002,0.6301565
0,8,9,2183,2268,0.5750000000000001,123.022,894.5,-1.8942099999999997,0.24919699999999997,1570.5,8.207640000000001,0.457293,4.4371100000000006,0.6218429999999999
0,8,3,2464,2531,0.5750000000000001,123.022,883.5,-2.0965499999999997,0.251204,1274.5,8.399930000000001,0.436089,4.23669,0.6131469999999999
0,8,7,3178,3270,0.65625,171.077,259.0,-1.72565,0.268525,1562.0,9.016369999999998,0.4758675,3.7665699999999998,0.611711
0,8,7,3373,3440,0.6875,187.095,244.0,-1.9864950000000001,0.269037,1546.0,8.77342,0.488138,3.4817199999999997,0.614302
0,8,6,3645,3712,0.5750000000000001,123.022,887.0,-2.00874,0.24811900000000003,1455.0,8.18463,0.48951500000000003,4.86717,0.625716
0,8,1,4291,4366,0.65,171.077,231.5,-1.452065,0.266806,1266.0,9.456520000000001,0.5013000000000001,1.6818405,0.622907
0,8,enter,4843,4919,0.58125,139.0405,922.0,-1.942555,0.26501399999999997,1684.5,7.540610000000001,0.4465435,5.706675,0.5870004999999999
0,9,9,0,68,0.5750000000000001,123.022,905.0,-1.913135,0.271384,1554.0,7.992104999999999,0.388599,5.28387,0.579674
0,9,1,366,441,0.7000000000000001,187.095,267.0,-2.141,0.26797600000000005,1237.0,8.813835000000001,0.38697600000000004,3.801045,0.59333
0,9,4,672,747,0.6875,187.095,264.0,-2.10404,0.2679905,1431.0,8.687655,0.49413700000000005,3.3046699999999998,0.6241135
0,9,1,1317,1384,0.69375,203.1135,218.0,-1.7108250000000003,0.28222400000000003,1251.5,9.3003,0.4572695,2.7184049999999997,0.6051195
0,9,9,1912,2005,0.5750000000000001,123.022,903.0,-2.3692599999999997,0.28853399999999996,1583.0,8.011485,0.4456535,4.564735,0.5828665
0,9,3,2226,2277,0.5625,123.022,930.0,-2.4027399999999997,0.278416,1259.0,8.158645,0.431133,4.58664,0.5770759999999999
0,9,7,2965,3050,0.675,187.095,269.0,-2.6029799999999996,0.275426,1543.0,8.389245,0.464084,3.6038699999999997,0.588222
0,9,7,3186,3237,0.6375000000000001,155.059,262.0,-2.2517400000000003,0.265961,1562.0,8.416780000000001,0.481681,3.9012599999999997,0.596688
0,9,6,3492,3560,0.5750000000000001,123.022,891.0,-2.714105,0.2597625,1451.0,7.738045,0.47209100000000004,5.20443,0.6000110000000001
0,9,1,3824,3874,0.6625,187.095,246.0,-2.40837,0.24544699999999997,1314.0,8.717600000000001,0.438546,3.02409,0.6052719999999999
0,9,enter,4503,4579,0.5625,123.022,919.0,-2.45275,0.2624945,1709.0,7.829135,0.42208049999999997,5.25477,0.5839395000000001
0,10,9,0,59,0.5750000000000001,123.022,897.0,-0.6806945,0.33891000000000004,1572.0,8.323885,0.377248,4.776375,0.590475
0,10,1,323,382,0.675,187.095,253.0,-0.1910174,0.331743,1259.0,9.39029,0.361769,1.1330265,0.5896589999999999
0,10,4,561,637,0.6625,187.095,284.0,-0.6742785,0.345129,1422.0,8.952325,0.42294,4.303855,0.618795
0,10,1,1546,1605,0.65,187.095,264.0,-0.41761050000000005,0.326854,1285.0,9.272425,0.366775,2.414528,0.594579
0,10,9,2022,2106,0.5625,123.022,920.0,-0.7568664999999999,0.34266250000000004,1573.0,8.402715,0.42662599999999995,5.033745000000001,0.6092365
0,10,3,2311,2353,0.55,90.9851,903.0,-0.8431700000000001,0.333664,1256.0,8.214360000000001,0.360785,5.16751,0.5998009999999999
0,10,7,3245,3321,0.6625,187.095,263.0,-0.7521595000000001,0.339935,1554.0,8.780425000000001,0.3972595,3.8621,0.5996165
0,10,7,3424,3474,0.65,187.095,250.0,-0.7812500000000001,0.341045,1559.0,8.59702,0.405467,4.36505,0.5977680000000001
0,10,6,3738,3822,0.5875,123.022,877.0,-0.6276015,0.323229,1432.0,8.19948,0.407742,5.329955,0.613819
0,10,1,4035,4102,0.6875,187.095,254.0,-0.43216725,0.320519,1263.0,9.41184,0.377083,2.648445,0.6098239999999999
0,10,enter,4833,4901,0.5750000000000001,123.022,927.0,-0.9200665,0.327732,1704.0,7.88311,0.3303555,5.45356,0.558977
0,11,9,0,76,0.5750000000000001,155.059,903.5,0.7602690000000001,0.34110100000000004,1570.0,8.392335000000001,0.356686,5.125215,0.694372
0,11,1,416,509,0.5750000000000001,155.059,160.5,1.1563949999999998,0.352378,1277.0,8.64368,0.362185,4.476815,0.678496
0,11,4,731,807,0.625,139.0405,145.5,0.713692,0.358954,1394.5,8.669425,0.3693155,4.50035,0.6762365000000001
0,11,1,1190,1274,0.6375000000000001,155.059,145.0,0.822052,0.360793,1266.0,8.670345,0.381439,4.745055,0.6642560000000001
0,11,9,1478,1554,0.5750000000000001,123.022,914.0,0.796837,0.373033,1553.0,8.545555,0.3718010000000001,4.740615,0.655621
0,11,3,1699,1775,0.6000000000000001,155.059,902.5,0.583412,0.371869,1279.5,8.545995,0.359166,4.023815,0.6511699999999999
0,11,7,2124,2191,0.6312500000000001,155.059,173.5,0.861351,0.378514,1556.5,8.603835,0.3586865,4.63323,0.6472344999999999
0,11,7,2311,2361,0.55,139.0405,201.5,0.753563,0.379343,1557.0,8.49564,0.354431,4.561835,0.6454059999999999
0,11,6,2558,2608,0.5750000000000001,123.022,905.0,0.711235,0.37999099999999997,1415.0,8.491975,0.35362150000000003,4.823995,0.640142
0,11,1,2711,2744,0.6000000000000001,155.059,153.0,0.750435,0.377449,1220.0,8.493675,0.354393,4.61326,0.6409729999999999
0,11,enter,3450,3543,0.5625,123.022,940.0,0.9052045,0.386065,1708.0,8.401275,0.328378,5.03833,0.625178
0,12,9,0,75,0.5750000000000001,123.022,917.0,-0.1918335,0.30335100000000004,1554.0,6.674344999999999,0.224112,6.8639600000000005,0.5309119999999999
0,12,1,285,343,0.59375,139.0405,153.5,-0.143097,0.304221,1276.0,6.681335000000001,0.223629,7.15659,0.5295380000000001
0,12,4,469,544,0.5875,155.059,154.0,-0.267998,0.308377,1419.0,6.674994999999999,0.2301,6.926354999999999,0.530366
0,12,1,1257,1332,0.5750000000000001,139.0405,132.5,-0.22039800000000004,0.302946,1261.5,6.672460000000001,0.22954899999999998,7.011844999999999,0.535134
0,12,9,1491,1558,0.5750000000000001,123.022,922.0,-0.199829,0.30184500000000003,1560.5,6.657534999999999,0.22847,6.9737100000000005,0.5353935
0,12,3,1726,1792,0.58125,139.0405,914.0,-0.203171,0.3007205,1266.5,6.73238,0.2285605,6.55766,0.5370064999999999
0,12,7,2363,2471,0.6000000000000001,139.0405,168.5,-0.23410050000000002,0.303478,1566.0,6.7044999999999995,0.228717,6.780885,0.531407
0,12,7,2581,2647,0.6000000000000001,155.059,180.0,-0.186989,0.30468,1560.0,6.689085,0.229748,6.753825,0.5310779999999999
0,12,6,2916,2990,0.5875,123.022,896.0,-0.220451,0.3035595,1419.0,6.7563,0.231267,6.845445000000001,0.5312105
0,12,1,3460,3552,0.5875,123.022,119.0,-0.2458195,0.305163,1255.0,6.714995,0.22739600000000001,6.830465,0.5264019999999999
0,12,enter,4415,4490,0.5750000000000001,123.022,926.0,-0.168518,0.30512399999999995,1695.0,6.558785,0.21335,6.8077250000000005,0.5148889999999999
0,13,9,0,68,0.5750000000000001,123.022,875.0,-1.97683,0.246196,1569.0,8.39488,0.449616,5.008119999999998,0.630609
0,13,1,315,382,0.675,203.1135,260.5,-2.1944150000000002,0.246794,1293.5,9.054355000000001,0.46098799999999995,1.484338,0.6308564999999999
0,13,4,536,603,0.65625,171.077,279.5,-2.23169,0.23441800000000002,1428.0,8.79787,0.515128,3.21233,0.6378215
0,13,1,927,1002,0.7125,219.132,303.0,-2.293565,0.2220665,1263.0,9.096315,0.518684,3.9382400000000004,0.6395325000000001
0,13,9,1496,1572,0.5750000000000001,123.022,888.0,-2.5039749999999996,0.23903850000000001,1563.0,8.170190000000002,0.47099749999999996,3.9998349999999996,0.6202835
0,13,3,1725,1784,0.5125,123.022,889.0,-1.92597,0.23745300000000003,1287.0,8.67481,0.47595049999999994,3.77631,0.619436
